dataset_id,dataset_name,algorithm,valid_output,timeout_type,result_relpath,source_result_path,failure_reason
g0007,CRK22,pysr,false,partial_output,results/W3/pysr/iaaccn22/g0007_CRK22/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn24/pysr/pysr/g0007_CRK22/result.json,nonfinite_or_missing_train_nmse
g0011,feynman-i.25.13,pyoperon,true,not_timeout,results/W2/pyoperon/iaaccn22/g0011_feynman-i.25.13/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn22/pyoperon/feynman-i.25.13/result.json,nonfinite_or_missing_train_nmse
g0012,feynman-i.26.2,pyoperon,false,not_timeout,results/W2/pyoperon/iaaccn22/g0012_feynman-i.26.2/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn23/pyoperon/pyoperon/g0012_feynman-i.26.2/result.json,nonfinite_or_missing_train_nmse
g0022,feynman-ii.11.20,tpsr,false,partial_output,results/W5/tpsr/iaaccn22/g0022_feynman-ii.11.20/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0022_feynman-ii.11.20/result.json,nonfinite_or_missing_train_nmse
g0025,feynman-bonus.4,tpsr,false,no_valid_output,results/W5/tpsr/iaaccn22/g0025_feynman-bonus.4/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0025_feynman-bonus.4/result.json,missing_canonical_artifact
g0039,feynman-ii.11.3,tpsr,false,no_valid_output,results/W5/tpsr/iaaccn22/g0039_feynman-ii.11.3/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0039_feynman-ii.11.3/result.json,missing_canonical_artifact
g0053,feynman-ii.8.7,pyoperon,true,not_timeout,results/W2/pyoperon/iaaccn23/g0053_feynman-ii.8.7/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn23/pyoperon/feynman-ii.8.7/result.json,nonfinite_or_missing_train_nmse
g0110,CRK5,pyoperon,true,not_timeout,results/W2/pyoperon/iaaccn24/g0110_CRK5/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn24/pyoperon/CRK5/result.json,nonfinite_or_missing_train_nmse
g0110,CRK5,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn24/g0110_CRK5/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn24/pysr/CRK5/result.json,nonfinite_or_missing_train_nmse
g0112,CRK15,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn24/g0112_CRK15/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn24/pysr/CRK15/result.json,nonfinite_or_missing_train_nmse
g0124,I.13.12_3_0,pyoperon,true,not_timeout,results/W2/pyoperon/iaaccn24/g0124_I.13.12_3_0/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w2_20260424-041046/iaaccn24/pyoperon/I.13.12_3_0/result.json,nonfinite_or_missing_train_nmse
g0166,CRK24,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn25/g0166_CRK24/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn25/pysr/CRK24/result.json,nonfinite_or_missing_train_nmse
g0168,CRK34,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn25/g0168_CRK34/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn25/pysr/CRK34/result.json,nonfinite_or_missing_train_nmse
g0171,CRK2,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn25/g0171_CRK2/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn25/pysr/CRK2/result.json,nonfinite_or_missing_train_nmse
g0172,CRK0,pysr,true,budget_exhausted_with_output,results/W3/pysr/iaaccn25/g0172_CRK0/result.json,/home/zhangziwen/projects/scientific-intelligent-modelling/experiments/e1_candidate200_seed1314_v2_w3_20260424-041046/iaaccn25/pysr/CRK0/result.json,nonfinite_or_missing_train_nmse
g0174,feynman-ii.35.18,tpsr,false,partial_output,results/W5/tpsr/iaaccn25/g0174_feynman-ii.35.18/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0174_feynman-ii.35.18/result.json,nonfinite_or_missing_train_nmse
g0175,feynman-bonus.2,tpsr,false,partial_output,results/W5/tpsr/iaaccn25/g0175_feynman-bonus.2/result.json,/home/family/workplace/scientific-intelligent-modelling/exp-planning/02.E1选择验证/remote_reruns/e1_repair_remaining_20260426/iaaccn25/tpsr/tpsr/g0175_feynman-bonus.2/result.json,nonfinite_or_missing_train_nmse
