dataset_dir,field,reason,recommendation
keijzer/Keijzer-10,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-12,dataset.citation,semantic attribution required,按来源人工确认引用口径
keijzer/Keijzer-2,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-1,dataset.citation,semantic attribution required,按来源人工确认引用口径
korns/Korns-3,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-5,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-7,dataset.citation,semantic attribution required,按来源人工确认引用口径
nguyen/Nguyen-9,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_leavitt,dataset.citation,semantic attribution required,按来源人工确认引用口径
srbench2025/firstprinciples/first_principles_newton,dataset.citation,semantic attribution required,按来源人工确认引用口径
