tool,dataset,runs,gt_runs,artifact_ok_runs,param_found_runs,symbolic_solution_rate,ned_mean,ned_std,tree_edit_distance_mean,tree_edit_distance_std,model_size_raw_mean,model_size_raw_std,model_size_simplified_mean,model_size_simplified_std,tree_depth_mean,tree_depth_std,ast_node_count_mean,ast_node_count_std
drsr,oscillator1,3,3,3,3,0.0,0.9722222222222223,0.019641855032959635,23.666666666666668,0.9428090415820634,43.333333333333336,0.4714045207910317,43.333333333333336,0.4714045207910317,4.0,0.0,43.333333333333336,0.4714045207910317
llmsr,oscillator1,3,3,3,3,0.0,0.763888888888889,0.17458062624967408,18.666666666666668,4.642796092394706,37.0,3.7416573867739413,37.0,3.7416573867739413,4.666666666666667,0.9428090415820634,42.0,3.265986323710904
pysr,oscillator1,3,3,3,0,0.0,1.0,0.0,32.0,5.715476066494082,24.333333333333332,3.7712361663282534,25.333333333333332,6.018490028422596,7.0,1.4142135623730951,24.333333333333332,3.7712361663282534
drsr,oscillator2,3,3,3,3,0.0,1.0,0.0,26.333333333333332,0.9428090415820634,38.333333333333336,2.0548046676563256,38.333333333333336,2.0548046676563256,5.0,0.816496580927726,38.333333333333336,2.0548046676563256
llmsr,oscillator2,3,3,3,3,0.0,1.0,0.0,31.666666666666668,6.599663291074443,44.0,6.97614984548545,44.333333333333336,7.363574011458175,5.0,0.816496580927726,47.666666666666664,8.379870059984356
pysr,oscillator2,3,3,3,0,0.0,1.0,0.0,26.333333333333332,4.714045207910316,16.0,0.816496580927726,18.666666666666668,5.2493385826745405,6.333333333333333,1.247219128924647,16.0,0.816496580927726
drsr,stressstrain,3,0,3,3,,,,,,41.0,0.816496580927726,44.333333333333336,2.0548046676563256,6.333333333333333,0.4714045207910317,44.0,2.8284271247461903
llmsr,stressstrain,3,0,3,3,,,,,,49.333333333333336,6.342099196813483,56.0,8.831760866327848,7.0,0.816496580927726,49.666666666666664,6.79869268479038
pysr,stressstrain,3,0,3,0,,,,,,18.0,0.816496580927726,18.0,0.816496580927726,6.666666666666667,0.4714045207910317,18.0,0.816496580927726
