tool,dataset,seed,source,candidate_count,artifact_ok_runs,best_ted,mean_ted,best_ned,mean_ned,symbolic_solution_rate,best_model_size_simplified,best_candidate_rank,best_candidate_file
drsr,oscillator1,1314,top10,10,10,23.0,23.8,0.9583333333333334,0.9750000000000002,0.0,44.0,top05,seed1314/drsr/oscillator1/experiments/oscillator1_drsr_seed1314/samples/top05_samples_406.json
drsr,oscillator1,1315,top10,10,10,12.0,21.1,0.5,0.8666666666666666,0.0,33.0,top09,seed1315/drsr/oscillator1/experiments/oscillator1_drsr_seed1315/samples/top09_samples_414.json
drsr,oscillator1,1316,top10,10,10,23.0,23.0,0.9583333333333334,0.9583333333333334,0.0,43.0,top01,seed1316/drsr/oscillator1/experiments/oscillator1_drsr_seed1316/samples/top01_samples_377.json
llmsr,oscillator1,1314,best_only_forced,1,1,29.0,29.0,1.0,1.0,0.0,46.0,best01,seed1314/llmsr/oscillator1/result.json
llmsr,oscillator1,1315,best_only_forced,1,0,,,,,,,,
llmsr,oscillator1,1316,best_only_forced,1,1,22.0,22.0,0.9166666666666666,0.9166666666666666,0.0,38.0,best01,seed1316/llmsr/oscillator1/result.json
pysr,oscillator1,1314,best_only,1,1,35.0,35.0,1.0,1.0,0.0,31.0,best01,seed1314/pysr/oscillator1/result.json
pysr,oscillator1,1315,best_only,1,1,24.0,24.0,1.0,1.0,0.0,17.0,best01,seed1315/pysr/oscillator1/result.json
pysr,oscillator1,1316,best_only,1,1,37.0,37.0,1.0,1.0,0.0,28.0,best01,seed1316/pysr/oscillator1/result.json
drsr,oscillator2,1314,top10,10,10,27.0,28.5,1.0,1.0,0.0,41.0,top01,seed1314/drsr/oscillator2/experiments/oscillator2_drsr_seed1314/samples/top01_samples_366.json
drsr,oscillator2,1315,top10,10,8,20.0,23.5,0.9523809523809523,0.9880952380952381,0.0,35.0,top03,seed1315/drsr/oscillator2/experiments/oscillator2_drsr_seed1315/samples/top03_samples_224.json
drsr,oscillator2,1316,top10,10,10,20.0,22.9,0.9523809523809523,0.9904761904761905,0.0,30.0,top09,seed1316/drsr/oscillator2/experiments/oscillator2_drsr_seed1316/samples/top09_samples_527.json
llmsr,oscillator2,1314,best_only_forced,1,1,38.0,38.0,1.0,1.0,0.0,45.0,best01,seed1314/llmsr/oscillator2/result.json
llmsr,oscillator2,1315,best_only_forced,1,0,,,,,,,,
llmsr,oscillator2,1316,best_only_forced,1,0,,,,,,,,
pysr,oscillator2,1314,best_only,1,1,33.0,33.0,1.0,1.0,0.0,26.0,best01,seed1314/pysr/oscillator2/result.json
pysr,oscillator2,1315,best_only,1,1,23.0,23.0,1.0,1.0,0.0,16.0,best01,seed1315/pysr/oscillator2/result.json
pysr,oscillator2,1316,best_only,1,1,23.0,23.0,1.0,1.0,0.0,14.0,best01,seed1316/pysr/oscillator2/result.json
drsr,stressstrain,1314,top10,10,10,39.0,39.0,1.0,1.0,0.0,44.0,top01,seed1314/drsr/stressstrain/experiments/stressstrain_drsr_seed1314/samples/top01_samples_195.json
drsr,stressstrain,1315,top10,10,0,,,,,,,,
drsr,stressstrain,1316,top10,10,9,35.0,38.888888888888886,1.0,1.0,0.0,42.0,top01,seed1316/drsr/stressstrain/experiments/stressstrain_drsr_seed1316/samples/top01_samples_615.json
llmsr,stressstrain,1314,best_only_forced,1,0,,,,,,,,
llmsr,stressstrain,1315,best_only_forced,1,0,,,,,,,,
llmsr,stressstrain,1316,best_only_forced,1,1,50.0,50.0,1.0,1.0,0.0,47.0,best01,seed1316/llmsr/stressstrain/result.json
pysr,stressstrain,1314,best_only,1,1,17.0,17.0,0.8947368421052632,0.8947368421052632,0.0,17.0,best01,seed1314/pysr/stressstrain/result.json
pysr,stressstrain,1315,best_only,1,1,19.0,19.0,1.0,1.0,0.0,18.0,best01,seed1315/pysr/stressstrain/result.json
pysr,stressstrain,1316,best_only,1,1,22.0,22.0,1.0,1.0,0.0,19.0,best01,seed1316/pysr/stressstrain/result.json
